"V1","V2"
289.433068520778,135.27340270486
328.793890327878,101.674654778186
377.115968210062,79.135222958248
427.912887459536,62.195964737235
479.629155424314,47.097232423531
532.056795324578,34.075272236946
585.54313628399,23.768625739274
639.355775340319,16.774749392241
692.822980193557,12.457633723399
745.901561199744,9.68861798382
798.764085514255,7.86981625540295
852.121827665722,5.32725979149097
881.921312825577,9.04044524970902
911.202049514473,13.072018855493
941.412764423818,15.671545095881
976.371050931528,22.162042526491
1012.71773106728,25.142069079021
1049.50926279102,26.467020061716
1086.32284476318,26.815228194931
1123.5566374355,26.403224750047
1160.98581665121,25.19887546226
1197.78723903391,23.234647282942
1234.33783266451,20.793254484369
1270.98198900407,20.022571389373
1329.88829563977,14.090255543828
1391.3590887997,13.37103327247
1453.22897356802,15.112911502526
1515.54934214342,18.432838435776
1577.35670251601,22.17675599175
1634.50923173041,32.591582871337
1677.59837353295,58.233544872154
1684.54660410567,104.680922433124
1660.17083697322,150.576302433254
1620.6033717135,186.884352612596
1567.73691085912,210.456073794963
1505.83916084347,220.428791439087
1441.23622348061,221.198060869801
1377.01243389047,217.287368042086
1313.67869661836,209.803425456927
1252.49970339129,198.712388612844
1211.80816209794,199.624710955429
1171.41625604754,200.313177667913
1130.90633583468,201.513728191072
1090.18990442647,203.280744748579
1049.41261719771,205.361442178027
1008.09961457982,207.792050694273
966.731969126322,210.863860908038
925.583224683649,214.738461247656
885.368351228805,221.485073931305
846.498115943727,232.458607823107
808.796174656146,246.152573749854
780.37658864488,252.184229791662
752.499594089217,256.239976620148
722.861176482103,260.011939580174
672.052753862872,263.363096881611
619.558232458631,261.754706587222
566.540466116629,255.132199096501
513.833937171682,246.58858916333
460.427894866981,237.797309412689
407.175847542381,225.834713810119
357.510804144186,207.808286857447
314.217360640556,179.814077456081
311,139
354,130
334,163
404,122
381,171
456,116
432,175
509,109
485,177
561,104
537,179
615,101
591,180
668,98
644,181
730,93
723,176
696,179
799,8
784,88
778,169
760,173
832,82
818,162
873,79
861,153
893,81
926,81
907,150
962,83
945,147
999,85
984,147
1037,86
1023,146
1075,86
1063,145
1100,85
1138,84
1115,144
1177,83
1154,142
1215,81
1194,141
1253,80
1233,140
1305,81
1279,143
1366,82
1340,147
1429,83
1403,151
1492,85
1467,152
1554,84
1530,150
1624,68
1619,120
1589,140
1666,65
1660,96
310,125
305,151
353,104
331,124
403,88
378,110
455,75
429,100
507,63
482,91
560,54
534,82
613,47
587,76
667,42
641,72
723,38
697,68
776,35
753,64
794,35
869,31
852,55
828,32
895,34
883,56
926,37
910,58
960,40
943,60
996,44
979,63
1033,46
1016,65
1070,46
1054,66
1103,46
1087,66
1141,45
1121,65
1179,44
1159,64
1216,42
1197,62
1253,40
1234,61
1302,38
1276,60
1362,36
1334,59
1425,37
1395,59
1487,40
1458,61
1549,42
1521,62
1612,41
1585,58
1659,52
1642,55
1676,76
1668,117
1670,89
1633,152
1646,122
1592,179
1610,149
1535,194
1562,167
1471,198
1501,174
1407,196
1437,175
1344,191
1373,172
1282,184
1311,167
1232,179
1255,161
1192,180
1213,160
1152,181
1173,161
1112,183
1133,163
1068,185
1089,164
1027,186
1045,165
986,189
1005,167
946,191
965,168
906,195
926,171
864,202
884,175
824,214
842,182
789,222
802,192
764,227
773,198
733,231
745,202
697,234
714,205
645,235
671,208
592,232
618,208
539,227
565,205
486,220
512,201
433,213
459,197
382,202
407,191
335,184
358,181
320,161
333,144
380,141
356,155
431,138
406,156
483,134
458,156
536,131
510,155
589,128
563,154
642,127
617,154
698,123
669,153
764,117
756,145
738,147
716,149
805,59
811,111
793,140
855,105
837,132
876,104
887,128
909,104
944,104
926,126
982,105
964,126
1020,106
1002,126
1058,106
1041,126
1097,105
1084,125
1118,104
1156,103
1136,123
1195,102
1175,122
1234,100
1214,121
1279,101
1255,121
1337,103
1308,124
1399,105
1370,127
1463,107
1433,129
1525,106
1496,129
1599,91
1587,115
1558,125
1650,76
1634,95
309,121
303,133
302,142
303,155
353,95
338,110
323,117
403,76
386,92
369,98
454,61
437,79
420,83
506,48
490,67
472,71
559,37
542,57
524,60
613,29
595,49
578,51
666,24
640,35
721,20
704,39
686,41
774,18
748,28
797,17
790,26
868,15
850,23
826,15
896,19
882,25
926,22
911,28
959,26
942,31
995,30
977,35
1032,33
1014,38
1069,33
1051,39
1104,33
1086,40
1142,32
1123,39
1179,31
1160,38
1216,29
1198,36
1253,27
1234,34
1301,24
1283,39
1267,40
1361,21
1342,36
1322,37
1423,22
1404,36
1383,36
1485,25
1466,39
1445,38
1547,28
1529,41
1508,40
1608,32
1591,40
1570,41
1657,48
1645,47
1630,43
1679,80
1673,66
1668,58
1671,124
1671,106
1672,97
1677,90
1638,163
1646,142
1658,130
1593,192
1608,172
1621,163
1536,208
1555,190
1574,185
1473,213
1493,197
1514,196
1408,211
1428,197
1450,198
1345,206
1365,193
1386,195
1283,198
1302,187
1323,189
1232,192
1246,180
1263,181
1192,193
1206,180
1219,180
1151,194
1165,181
1179,180
1111,196
1125,183
1139,182
1069,198
1082,184
1097,183
1028,200
1040,185
1054,185
987,203
1000,188
1013,187
946,206
966,197
906,210
926,200
865,219
885,206
826,231
845,216
793,240
807,227
766,245
778,234
736,249
750,238
697,252
718,242
646,253
671,244
593,250
619,243
540,243
557,229
575,231
487,235
504,223
522,225
434,226
451,216
468,218
382,212
399,206
416,210
336,191
350,191
366,197
313,164
323,168
328,176
317,129
325,136
321,148
312,150
362,115
371,127
363,142
348,143
339,133
346,119
329,156
341,154
349,166
342,176
395,107
412,103
421,120
414,139
397,140
387,124
365,169
372,156
389,156
398,173
390,188
374,185
447,97
464,94
474,114
466,135
448,137
439,118
415,174
423,156
440,156
450,176
441,195
424,193
499,88
517,85
526,107
518,132
501,133
491,111
475,156
493,155
502,178
494,199
477,198
467,177
552,80
569,78
579,103
571,129
553,130
544,106
528,155
545,155
555,179
547,204
529,202
520,178
605,75
623,73
641,90
642,109
615,119
597,102
581,154
599,154
617,172
618,190
600,207
583,206
573,180
659,71
677,69
688,96
678,125
660,126
643,163
670,171
670,189
644,199
717,66
735,65
749,91
744,119
722,121
708,95
726,157
740,165
743,184
727,194
711,187
712,168
694,197
694,160
807,25
781,70
807,76
809,94
786,105
767,90
776,151
796,157
799,174
784,186
770,180
765,162
759,191
751,155
830,65
852,72
853,89
833,99
816,145
839,149
840,166
821,179
869,63
883,72
881,88
868,96
851,130
868,129
885,144
884,159
862,170
895,65
910,73
909,89
893,96
926,66
944,75
944,89
926,96
907,135
926,141
926,156
906,165
961,69
980,77
981,91
963,97
945,133
964,140
965,154
945,162
998,71
1017,79
1019,92
1000,99
983,133
